STUDENT_ID,FISCAL_YEAR,RETAINED,SEX_CODE,IPEDS_RACE_CODE,HS_GPA
101,FY23,N,F,4,3.174131078
102,FY21,Y,F,1,3.848203271
103,FY23,Y,M,7,2.360186585
104,FY22,Y,F,1,2.866486042
105,FY23,N,F,6,3.16982592
106,FY22,Y,M,3,2.680601898
107,FY23,Y,M,4,3.646012312
108,FY22,Y,F,3,3.284756903
109,FY23,Y,F,2,2.504366493
110,FY22,Y,F,2,2.151942769
111,FY22,Y,F,5,2.626338885
112,FY23,Y,M,1,3.452140458
113,FY22,Y,M,3,3.563085471
114,FY20,N,F,9,2.534074944
115,FY24,Y,F,6,2.638265846
116,FY20,Y,F,8,2.873125602
117,FY20,N,F,1,2.892839738
118,FY23,Y,M,8,3.180433751
119,FY20,N,F,2,3.366775404
120,FY23,Y,F,7,2.603931518
121,FY22,Y,M,5,3.169398868
122,FY23,Y,F,2,3.298881935
123,FY24,Y,F,5,2.904382001
124,FY22,N,F,4,3.840136586
125,FY22,Y,F,3,3.443739922
126,FY22,Y,F,8,1.782966617
127,FY22,N,M,5,3.272416543
128,FY23,N,F,1,3.689282711
129,FY21,N,M,6,3.120406554
130,FY20,Y,F,1,3.430938888
131,FY24,Y,F,8,3.323092742
132,FY24,Y,M,5,3.750057107
133,FY20,Y,F,6,3.404540801
134,FY21,N,M,4,2.866105563
135,FY24,Y,F,6,2.500362567
136,FY20,Y,M,3,3.107474008
137,FY21,Y,F,7,4
138,FY23,Y,M,1,3.073197708
139,FY22,N,F,9,2.94389284
140,FY20,Y,M,2,2.448292744
141,FY22,Y,F,9,2.748105968
142,FY24,N,F,2,3.840368388
143,FY20,Y,F,6,3.455217793
144,FY24,Y,M,8,2.569220805
145,FY24,Y,M,8,2.013874411
146,FY21,Y,M,1,3.142499534
147,FY21,N,M,1,4
148,FY22,N,F,5,2.353351832
149,FY24,Y,F,1,2.995059726
150,FY22,Y,F,5,3.291175373
151,FY23,N,F,6,3.16704806
152,FY22,Y,F,8,2.352303201
153,FY20,Y,F,2,3.399088182
154,FY24,Y,F,4,3.424894722
155,FY22,Y,M,6,2.710242972
156,FY24,Y,F,2,3.985524821
157,FY21,N,M,4,2.639388659
158,FY23,Y,F,1,3.028785155
159,FY24,N,F,2,2.508483168
160,FY22,N,M,2,2.808823774
161,FY24,Y,F,2,2.888517101
162,FY22,Y,M,6,2.767878641
163,FY22,Y,M,1,3.541444871
164,FY21,Y,M,4,2.749858268
165,FY24,N,M,1,2.357637168
166,FY20,N,F,1,2.4244447
167,FY23,N,F,3,3.431655785
168,FY23,Y,M,2,3.109256435
169,FY20,Y,M,7,3.129575235
170,FY22,Y,F,3,3.10753885
171,FY22,N,F,8,2.632225629
172,FY23,N,F,2,3.564078488
173,FY20,Y,F,3,3.772380551
174,FY23,Y,M,7,2.866637436
175,FY20,N,F,2,3.173160677
176,FY20,N,F,4,2.869380677
177,FY23,N,F,8,3.068883655
178,FY21,Y,F,6,2.208961262
179,FY20,Y,F,7,2.356946138
180,FY23,N,M,7,3.166263819
181,FY24,N,F,2,3.13746147
182,FY23,Y,M,4,2.79746313
183,FY23,Y,F,6,3.453274625
184,FY22,Y,F,9,3.292982138
185,FY22,Y,F,2,2.756152539
186,FY23,Y,F,1,2.869747568
187,FY22,Y,M,9,2.875123967
188,FY21,N,M,9,2.739762976
189,FY24,Y,F,2,3.381351724
190,FY22,Y,F,4,3.127879719
191,FY24,N,F,6,3.697913971
192,FY22,N,F,4,3.559761723
193,FY20,N,F,3,3.00372477
194,FY23,N,F,1,3.179158972
195,FY23,N,M,5,3.362843524
196,FY22,Y,M,2,2.538041669
197,FY20,Y,F,6,2.830820777
198,FY20,N,F,3,3.531240157
199,FY24,Y,F,6,3.380626627
200,FY21,Y,F,2,3.925576305
201,FY21,Y,F,3,3.104425123
202,FY21,Y,M,5,2.925482041
203,FY20,Y,F,4,2.535736927
204,FY24,N,M,9,3.406932632
205,FY20,N,F,9,3.539519903
206,FY22,N,F,9,2.791404086
207,FY23,Y,F,9,3.762508687
208,FY22,Y,F,7,2.660809755
209,FY23,N,F,5,3.375362144
210,FY20,N,F,5,2.548614444
211,FY23,N,F,7,3.317616383
212,FY20,Y,F,3,2.758957353
213,FY24,Y,M,1,3.2463992
214,FY20,Y,M,3,4
215,FY21,Y,F,1,2.959078767
216,FY24,Y,F,1,2.500519476
217,FY20,Y,F,2,3.818785553
218,FY21,N,M,2,2.760698478
219,FY21,N,M,5,2.472438617
220,FY24,N,M,5,3.451531171
221,FY23,Y,F,8,2.991079373
222,FY23,N,F,5,3.555562485
223,FY22,N,F,4,2.765948213
224,FY20,Y,M,2,3.367749879
225,FY22,Y,F,2,2.813718456
226,FY24,Y,M,8,3.220979471
227,FY23,Y,F,6,2.802902869
228,FY21,N,F,3,3.905369783
229,FY24,Y,F,5,3.080683709
230,FY21,Y,F,5,3.497490806
231,FY20,N,M,4,2.739593163
232,FY20,Y,F,3,3.770963242
233,FY21,N,M,6,3.499907351
234,FY22,Y,M,8,2.45424678
235,FY24,N,M,4,2.459047943
236,FY20,Y,M,3,3.731025343
237,FY24,N,F,1,2.745986607
238,FY22,Y,M,1,2.505408283
239,FY22,Y,F,3,3.734385658
240,FY20,Y,F,4,3.329742504
241,FY21,Y,M,8,2.198437519
242,FY24,Y,F,4,3.229399486
243,FY20,Y,F,3,3.252417906
244,FY20,N,F,3,2.547493988
245,FY21,Y,M,9,3.573244146
246,FY20,N,F,3,3.201314189
247,FY24,Y,F,8,2.608105384
248,FY23,Y,M,8,3.180970955
249,FY23,Y,M,6,2.744945588
250,FY23,Y,M,9,2.957689107
251,FY22,Y,F,4,2.057583912
252,FY22,Y,F,5,3.286111016
253,FY21,N,M,8,2.00864385
254,FY24,Y,F,3,3.529127844
255,FY22,N,F,6,2.954071475
256,FY22,Y,F,1,2.651255004
257,FY22,N,F,6,3.128283499
258,FY23,Y,M,4,3.056622037
259,FY22,N,F,1,3.785429314
260,FY24,N,F,7,3.060103006
261,FY23,Y,M,4,2.722801411
262,FY24,Y,M,7,2.900102733
263,FY23,N,M,7,2.553960191
264,FY21,N,F,4,2.036875482
265,FY20,Y,M,4,3.372662608
266,FY23,Y,F,2,3.389658367
267,FY20,N,M,1,2.451844584
268,FY22,Y,M,8,2.970046491
269,FY23,N,M,6,3.390074094
270,FY20,N,F,6,3.830198376
271,FY21,N,F,8,2.644941432
272,FY22,N,M,9,2.22950393
273,FY22,Y,M,3,4
274,FY23,N,F,9,3.598000165
275,FY24,Y,F,3,4
276,FY21,Y,M,8,2.989266936
277,FY24,Y,F,1,3.312838214
278,FY21,Y,M,9,3.316976713
279,FY22,Y,F,2,3.597531957
280,FY22,Y,M,6,2.394792491
281,FY21,Y,M,8,3.944781348
282,FY23,Y,M,8,3.15164192
283,FY23,Y,F,5,3.426580053
284,FY24,N,M,4,3.069022546
285,FY20,Y,F,7,2.301665657
286,FY23,Y,F,3,3.178858567
287,FY22,Y,M,8,3.042452147
288,FY21,N,M,6,3.753244739
289,FY24,N,M,2,3.273572633
290,FY22,Y,F,1,3.640562987
291,FY20,N,F,3,3.666224198
292,FY23,N,F,5,3.831925933
293,FY20,Y,M,7,3.371129361
294,FY24,Y,F,5,3.298720289
295,FY20,Y,F,2,3.473602719
296,FY21,Y,M,8,3.001568963
297,FY21,N,M,9,3.321458553
298,FY24,N,F,1,1.884314647
299,FY20,Y,M,6,2.752607723
300,FY23,Y,F,1,2.510634775
301,FY20,N,M,9,3.403022149
302,FY20,Y,M,4,2.770541612
303,FY24,Y,M,1,3.721666855
304,FY22,N,F,2,2.676966666
305,FY24,Y,F,6,2.195875767
306,FY24,N,M,9,3.019089399
307,FY21,N,F,8,2.596750682
308,FY23,Y,F,1,3.647521127
309,FY21,Y,F,7,3.314125337
310,FY24,Y,F,1,3.306693384
311,FY21,Y,F,1,2.909688384
312,FY22,Y,F,2,2.65465776
313,FY21,N,M,5,2.900339663
314,FY24,N,M,7,3.302308066
315,FY20,N,F,6,2.650226943
316,FY23,N,M,4,2.501185952
317,FY23,Y,F,9,2.929190856
318,FY24,Y,F,7,3.889886024
319,FY20,Y,F,7,2.331752304
320,FY21,Y,F,8,3.391024187
321,FY22,Y,F,8,2.988242776
322,FY21,Y,F,4,3.684446244
323,FY22,Y,F,8,3.279080301
324,FY24,N,F,7,2.937851884
325,FY22,Y,F,4,2.818050752
326,FY20,N,F,8,2.790010906
327,FY21,Y,F,5,2.538962213
328,FY21,Y,M,6,2.477196459
329,FY21,Y,M,3,3.1097971
330,FY23,Y,F,5,2.848269691
331,FY24,Y,F,6,3.780079198
332,FY23,N,F,5,3.135830224
333,FY21,Y,F,2,3.285375058
334,FY24,Y,M,6,3.366678714
335,FY20,N,F,1,3.691306114
336,FY21,Y,M,3,2.797235042
337,FY20,Y,M,8,2.463752922
338,FY22,N,M,1,3.384931795
339,FY23,N,F,6,2.914252765
340,FY22,Y,M,6,3.174177098
341,FY23,N,M,5,3.252306403
342,FY21,Y,F,6,2.732802095
343,FY24,Y,F,9,2.199020474
344,FY21,N,M,9,3.457429674
345,FY23,N,M,6,3.661128038
346,FY22,N,F,1,2.782230466
347,FY23,N,M,4,2.853261294
348,FY24,Y,M,2,2.942525789
349,FY20,N,F,7,2.513420034
350,FY22,Y,F,5,3.253170899
351,FY23,Y,F,2,2.889218188
352,FY22,N,F,1,2.585510427
353,FY23,N,F,2,3.500287465
354,FY24,Y,M,2,3.196069504
355,FY21,Y,F,2,3.105598646
356,FY22,Y,M,9,2.642302048
357,FY22,Y,M,8,3.304033625
358,FY23,N,F,2,2.743071351
359,FY21,Y,M,2,1.9753412
360,FY24,N,F,8,3.487866607
361,FY24,N,F,6,2.617151982
362,FY21,N,M,8,3.864729659
363,FY20,Y,M,9,2.70889158
364,FY22,Y,F,4,2.494605123
365,FY22,Y,F,6,3.362422152
366,FY24,N,F,4,3.120961344
367,FY23,N,F,8,3.739631698
368,FY20,N,F,4,3.461758575
369,FY21,Y,F,3,2.566590762
370,FY20,Y,F,2,3.795018591
371,FY20,N,M,7,3.530594225
372,FY22,Y,F,3,2.130218689
373,FY20,Y,F,9,3.98305128
374,FY20,N,M,5,4
375,FY22,Y,F,6,3.033600831
376,FY20,Y,F,7,3.478817716
377,FY23,Y,M,7,2.573878238
378,FY24,N,M,3,2.417191142
379,FY23,Y,F,5,3.164092351
380,FY20,Y,F,4,2.002163273
381,FY22,N,M,3,2.27359664
382,FY24,N,F,8,3.334652607
383,FY24,Y,F,1,2.485586778
384,FY24,Y,F,4,3.260728912
385,FY24,N,M,3,3.196042458
386,FY22,N,M,1,3.328983625
387,FY20,Y,M,3,3.384924156
388,FY22,Y,F,6,3.590251234
389,FY22,N,F,2,2.973788645
390,FY21,Y,F,2,3.280184601
391,FY21,Y,M,3,2.09119571
392,FY24,N,F,9,3.023557183
393,FY21,N,F,3,3.149131803
394,FY20,N,F,3,3.346795559
395,FY24,Y,M,4,3.935229407
396,FY22,N,F,4,2.018985728
397,FY20,N,F,4,3.351454057
398,FY20,Y,F,3,3.276257137
399,FY24,N,F,7,2.544743514
400,FY23,Y,F,8,2.814057613
401,FY21,Y,F,2,3.50407402
402,FY21,Y,F,9,2.344813904
403,FY20,N,F,4,3.141386191
404,FY20,Y,M,8,3.937762869
405,FY20,Y,F,7,3.312616107
406,FY21,Y,F,7,3.014246037
407,FY20,N,M,8,2.565148245
408,FY20,Y,F,6,2.811219122
409,FY22,N,F,1,2.369262686
410,FY22,Y,F,1,3.118465753
411,FY21,Y,M,1,3.692311706
412,FY21,Y,F,7,2.400549281
413,FY20,Y,F,6,1.886094527
414,FY20,Y,M,5,3.620269145
415,FY20,Y,F,5,3.552550046
416,FY23,Y,F,9,3.234232027
417,FY24,Y,F,6,2.627895905
418,FY24,Y,M,4,2.647315161
419,FY22,Y,M,4,2.886768372
420,FY23,N,F,7,2.600328268
421,FY23,Y,F,6,3.286029468
422,FY20,Y,F,9,3.366741813
423,FY22,Y,M,6,3.436766281
424,FY22,Y,F,7,3.437500526
425,FY22,N,M,8,3.245380302
426,FY21,Y,M,7,4
427,FY22,Y,M,8,1.905262223
428,FY23,Y,F,8,3.264396246
429,FY22,Y,M,1,3.479722235
430,FY21,N,M,4,2.720346494
431,FY24,N,M,5,3.067411882
432,FY22,N,M,4,2.836547078
433,FY23,Y,F,5,3.355025733
434,FY21,Y,F,9,2.671299671
435,FY23,Y,F,1,2.253635221
436,FY22,Y,M,2,4
437,FY20,N,F,4,2.767204186
438,FY21,N,M,2,3.288218002
439,FY21,N,M,5,2.796951356
440,FY24,N,M,3,3.22756386
441,FY21,Y,F,1,3.114435321
442,FY24,N,M,2,3.451245046
443,FY20,Y,M,6,3.296954382
444,FY20,Y,F,7,3.166698874
445,FY22,Y,F,7,3.028062063
446,FY21,N,F,4,3.197655585
447,FY22,N,M,7,2.613969421
448,FY22,Y,F,5,2.224692555
449,FY21,Y,F,5,3.082145802
450,FY21,Y,F,6,2.60231964
451,FY21,N,M,9,3.486422453
452,FY23,Y,F,4,3.853036613
453,FY24,N,M,9,3.250899514
454,FY20,Y,F,1,3.819448245
455,FY21,Y,F,5,3.148354347
456,FY22,Y,M,2,3.345644842
457,FY20,N,M,6,2.930014239
458,FY22,N,M,1,2.761023459
459,FY22,Y,M,9,3.669016876
460,FY24,Y,F,4,2.965218533
461,FY24,Y,F,9,2.949211807
462,FY21,N,F,3,3.329914876
463,FY20,Y,M,4,3.245083217
464,FY20,Y,F,6,2.790562594
465,FY23,N,F,4,3.209332971
466,FY23,Y,M,2,2.850168122
467,FY23,Y,M,6,2.89875727
468,FY22,Y,F,5,3.822876752
469,FY20,Y,M,8,2.614264145
470,FY23,Y,M,2,2.913257419
471,FY24,Y,F,1,2.686064849
472,FY22,N,M,3,3.610167338
473,FY22,Y,F,4,2.54453037
474,FY24,Y,F,8,2.858124763
475,FY20,N,M,1,2.679350261
476,FY22,Y,M,4,3.322946159
477,FY22,N,M,1,3.138363945
478,FY21,N,F,5,2.94267897
479,FY22,N,F,1,3.018270797
480,FY21,Y,F,3,2.237518371
481,FY24,N,F,2,3.221233082
482,FY22,Y,M,1,3.005944381
483,FY22,N,M,9,3.449565823
484,FY24,N,F,6,3.588997965
485,FY20,N,F,3,3.500796194
486,FY20,N,M,7,3.41391865
487,FY24,N,F,2,2.78209985
488,FY21,N,M,7,2.148848616
489,FY21,Y,F,3,2.56967091
490,FY22,N,F,1,3.264290184
491,FY22,Y,M,6,2.325514171
492,FY21,Y,F,8,2.937881031
493,FY22,Y,M,6,3.448885728
494,FY22,N,M,2,3.456281867
495,FY22,Y,M,9,3.223619072
496,FY22,Y,F,1,2.793932332
497,FY24,N,F,6,2.764021963
498,FY20,Y,M,8,2.72432063
499,FY20,N,F,3,2.965948706
500,FY22,Y,M,9,3.881812326
501,FY20,Y,F,2,2.999564405
502,FY24,Y,F,9,2.581980352
503,FY24,Y,F,1,2.835869046
504,FY20,Y,M,8,2.151833953
505,FY23,Y,F,6,3.210087419
506,FY24,Y,F,6,2.579246819
507,FY22,N,M,6,2.974915071
508,FY21,N,M,6,3.137188992
509,FY20,Y,F,2,3.281659347
510,FY22,Y,M,4,3.235808891
511,FY22,Y,F,1,3.255837864
512,FY20,Y,F,6,3.398953348
513,FY23,Y,F,1,3.755778753
514,FY20,N,F,1,3.675373405
515,FY22,Y,F,3,2.51455324
516,FY22,Y,M,8,2.38001102
517,FY20,Y,F,2,4
518,FY21,N,M,1,2.860966641
519,FY22,N,F,6,2.775987606
520,FY23,N,M,2,2.005574403
521,FY24,Y,F,3,3.414591165
522,FY24,Y,M,7,3.073299394
523,FY23,Y,F,9,2.068033898
524,FY20,Y,M,2,2.965009392
525,FY23,Y,M,9,3.675634815
526,FY23,N,F,3,3.143521041
527,FY20,N,F,2,2.535705089
528,FY21,Y,M,7,2.632536068
529,FY20,Y,M,2,2.864069999
530,FY21,Y,F,5,3.069347367
531,FY23,Y,F,3,3.577081319
532,FY20,N,M,2,2.723932301
533,FY21,N,F,1,2.917289094
534,FY23,Y,M,5,3.721974097
535,FY22,Y,F,7,3.659628293
536,FY23,Y,F,1,3.475276552
537,FY24,N,F,2,3.373734955
538,FY23,Y,M,8,2.457153594
539,FY21,Y,F,5,3.454449862
540,FY23,Y,F,9,3.027974543
541,FY23,Y,F,9,3.416298472
542,FY24,Y,M,6,2.887287147
543,FY24,N,F,2,2.964117871
544,FY20,Y,M,1,3.003940404
545,FY24,Y,F,9,2.217991742
546,FY21,Y,M,5,3.153800356
547,FY23,Y,F,4,3.079421437
548,FY23,Y,F,4,3.404282473
549,FY22,Y,F,5,3.614217578
550,FY21,Y,M,9,4
551,FY24,N,F,2,3.476167234
552,FY21,Y,F,2,2.842568284
553,FY24,N,M,8,2.954329707
554,FY21,Y,F,4,3.56309076
555,FY23,Y,F,3,3.000854264
556,FY22,N,F,8,3.011890495
557,FY24,Y,M,6,2.711826157
558,FY20,Y,M,3,2.476421977
559,FY24,Y,F,6,3.426763035
560,FY20,Y,M,5,2.390734737
561,FY24,Y,F,4,2.950593896
562,FY23,Y,M,6,3.661529461
563,FY23,Y,F,1,2.317671825
564,FY22,N,M,3,3.156244526
565,FY23,N,M,1,3.062181606
566,FY23,N,M,9,3.411096085
567,FY20,Y,F,8,3.385280572
568,FY21,N,M,2,2.877280883
569,FY24,N,F,3,2.910265727
570,FY22,N,M,8,2.812642962
571,FY22,N,F,6,2.594671654
572,FY20,Y,F,3,3.006563957
573,FY24,Y,F,7,3.786129759
574,FY22,Y,M,6,3.14418258
575,FY23,N,F,4,2.689023949
576,FY20,N,F,4,2.556680868
577,FY21,Y,F,4,3.15065776
578,FY20,N,F,6,2.576567224
579,FY24,N,F,2,2.451349997
580,FY23,Y,M,3,2.638608958
581,FY20,Y,M,1,4
582,FY23,Y,M,2,2.478186454
583,FY20,Y,F,6,3.921223233
584,FY23,Y,F,8,2.669118798
585,FY22,Y,M,2,2.765926232
586,FY22,Y,M,3,2.615838441
587,FY21,Y,F,9,3.080646006
588,FY23,N,F,3,3.096060509
589,FY21,N,F,8,3.094011003
590,FY22,N,M,8,3.78040377
591,FY22,N,F,7,2.887422316
592,FY21,Y,M,5,2.510444934
593,FY20,N,F,8,3.189278644
594,FY24,Y,F,1,3.109751232
595,FY20,Y,M,5,2.935054445
596,FY22,Y,F,6,2.724881042
597,FY20,Y,F,1,3.675750609
598,FY23,N,F,5,3.046230826
599,FY20,N,M,6,3.689907394
600,FY21,N,M,6,3.451201871
601,FY21,Y,F,7,3.382016489
602,FY23,Y,M,8,3.48246302
603,FY20,N,M,8,2.979590705
604,FY24,Y,M,2,3.155089864
605,FY24,N,F,3,3.563678659
606,FY24,N,F,9,2.446440425
607,FY20,Y,M,7,2.188792366
608,FY20,Y,M,8,3.528231571
609,FY23,Y,M,8,2.117079579
610,FY24,Y,F,4,2.710357894
611,FY20,N,M,4,3.197985837
612,FY20,Y,F,3,2.886746154
613,FY24,N,M,7,3.644366324
614,FY22,N,F,3,2.74810328
615,FY24,Y,F,8,3.189501664
616,FY20,Y,M,7,3.2314293
617,FY20,Y,M,8,3.182941115
618,FY21,Y,F,4,3.199946777
619,FY22,Y,F,4,2.987010668
620,FY24,Y,M,6,3.375467553
621,FY23,Y,M,6,3.88401537
622,FY21,N,M,9,2.715045556
623,FY22,Y,F,6,2.971910491
624,FY24,Y,M,4,2.931370548
625,FY23,N,F,5,2.445912332
626,FY20,Y,F,9,3.555494313
627,FY20,N,M,6,3.472770713
628,FY23,N,M,4,2.36738596
629,FY20,N,F,3,2.79656642
630,FY24,N,F,3,3.1118829
631,FY20,Y,F,7,3.378495878
632,FY23,Y,M,2,3.488414859
633,FY20,Y,F,3,3.658007439
634,FY20,Y,M,5,3.210622599
635,FY20,N,F,6,3.331329396
636,FY24,N,M,8,3.397833117
637,FY22,Y,F,5,3.593508714
638,FY21,Y,F,5,3.462163439
639,FY21,Y,M,7,4
640,FY22,N,M,3,2.501965302
641,FY21,N,M,6,3.344053345
642,FY21,Y,F,8,2.582435205
643,FY20,N,M,2,2.361810222
644,FY23,Y,M,1,2.87290878
645,FY20,Y,F,3,3.310383899
646,FY20,Y,M,9,3.055612198
647,FY20,N,F,7,4
648,FY20,Y,F,2,2.258360414
649,FY23,Y,M,7,3.669841505
650,FY21,N,F,9,4
651,FY24,Y,M,3,2.924423198
652,FY24,Y,F,8,3.295156404
653,FY20,N,M,2,3.580275229
654,FY22,N,F,8,2.35225346
655,FY20,Y,F,8,3.007831286
656,FY23,Y,F,6,3.650675839
657,FY20,Y,F,5,2.549130188
658,FY21,Y,M,7,2.842295452
659,FY21,Y,M,1,3.356579699
660,FY22,Y,M,4,3.477980687
661,FY24,Y,F,2,3.065775216
662,FY20,Y,F,2,4
663,FY21,Y,F,8,1.901936134
664,FY22,N,M,2,2.817814137
665,FY22,Y,F,5,3.112999373
666,FY23,Y,M,1,2.631200455
667,FY22,Y,M,6,2.249825845
668,FY20,Y,F,8,2.5614777
669,FY23,Y,F,9,3.874204964
670,FY24,Y,F,4,3.096465641
671,FY22,Y,M,9,3.647928246
672,FY24,Y,M,5,3.510386006
673,FY20,Y,M,1,3.542048364
674,FY20,Y,F,8,3.853841897
675,FY21,N,M,8,3.378062219
676,FY21,N,F,2,2.818478941
677,FY22,Y,F,6,3.083517692
678,FY22,Y,F,7,2.795254189
679,FY22,N,M,4,1.796618078
680,FY23,Y,F,4,2.661829655
681,FY23,Y,M,3,3.812657807
682,FY22,Y,M,9,3.584612549
683,FY23,Y,F,6,3.202973461
684,FY23,Y,M,9,3.181429222
685,FY21,Y,M,1,3.114409342
686,FY23,N,F,3,2.429088527
687,FY21,Y,F,3,2.971471624
688,FY20,N,F,3,2.779629342
689,FY23,N,F,7,3.35692385
690,FY24,N,F,8,2.636124366
691,FY23,N,M,9,2.873733971
692,FY20,Y,F,5,2.379022248
693,FY23,Y,M,6,2.36250551
694,FY21,Y,F,7,3.137187431
695,FY21,Y,F,6,3.164902589
696,FY20,Y,F,1,3.45126027
697,FY21,Y,M,5,3.377349549
698,FY21,Y,F,3,3.433092012
699,FY23,Y,M,8,2.66987463
700,FY21,Y,F,5,2.012770313
701,FY22,N,M,7,3.429848603
702,FY24,Y,F,4,3.397964705
703,FY20,Y,M,5,2.889398701
704,FY21,Y,M,6,2.474794212
705,FY22,N,F,4,3.606177896
706,FY20,Y,M,6,4
707,FY21,Y,F,3,2.607876939
708,FY24,Y,F,1,2.716492562
709,FY24,Y,M,3,2.393453738
710,FY20,Y,F,4,3.245803014
711,FY24,N,M,6,2.985869189
712,FY24,N,M,7,2.990250243
713,FY22,Y,F,3,3.355458229
714,FY23,Y,M,2,2.984057441
715,FY24,N,F,4,2.794752343
716,FY21,Y,M,3,3.05534934
717,FY20,Y,F,9,3.151740405
718,FY24,Y,M,4,2.968169931
719,FY23,N,M,2,3.541918633
720,FY22,N,M,1,3.398193298
721,FY23,N,M,8,3.57991673
722,FY23,N,F,1,3.806641185
723,FY24,Y,F,4,4
724,FY22,N,M,5,3.510297929
725,FY22,N,F,9,3.265420631
726,FY21,Y,M,3,1.88962362
727,FY23,Y,F,9,3.21647285
728,FY24,Y,M,5,3.151204564
729,FY24,N,M,5,3.313867065
730,FY24,Y,M,1,3.132553551
731,FY24,Y,M,8,3.429414155
732,FY24,N,M,3,4
733,FY24,Y,M,9,3.14344836
734,FY24,Y,F,2,3.23689282
735,FY21,Y,M,5,2.856327021
736,FY24,N,M,5,1.48754675
737,FY22,Y,F,7,3.916696959
738,FY23,Y,M,8,3.627434772
739,FY24,Y,F,3,3.006797121
740,FY24,Y,M,8,3.417921103
741,FY24,Y,M,8,2.625293501
742,FY21,N,F,4,2.896141472
743,FY20,N,F,7,3.005960192
744,FY20,N,M,8,2.989978512
745,FY21,Y,F,4,3.300991733
746,FY21,N,M,1,3.527046989
747,FY20,N,F,8,2.143042823
748,FY21,Y,F,5,2.335436585
749,FY23,Y,M,3,2.623078197
